device_on_off_ratio,device_log10_on_off_ratio,state_count_available,physical_state_count,device_conductance_mode,mapping_strategy,precision_basis,crossbar_size,requested_weight_bits,effective_weight_levels,slices_per_branch,physical_cells_per_weight,adc_bits,estimated_memristor_cells,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy,predicted_accuracy,tree_disagreement,candidate_on_off_ratio,candidate_mode,candidate_state_count,historical_mean_abs_error_pp,historical_median_abs_error_pp,historical_max_abs_error_pp,historical_validation_rows,validation_adjusted_score,nearest_known_device,nearest_known_family,descriptor_distance_to_nearest_known,numeric_descriptor_distance,categorical_mismatch_fraction,accuracy_margin_pp,passes_accuracy,passes_cost,passes_distance,feasible,reverse_design_rank
80.0,1.9030899869919435,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,256,6,63,0,2,8,203264,10,256,2560,96.2769628968254,0.05406869734408667,80.0,ANALOG,0,0.21888017979797975,0.0429856468253859,3.415293729437224,50,96.05808271702742,TiOx_03,TiOx,0.0,0.0,0.0,0.5580827170274176,True,True,True,True,1
2.128684,0.3281111958478591,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,256,7,127,0,2,8,203264,10,256,2560,96.2522559126984,0.019409081542891633,2.128684,GRADUAL_MULTILEVEL,0,0.2082744928715715,0.0183501865079378,3.5959328152958108,50,96.04398141982684,TiOx_02_Pt,TiOx,0.0,0.0,0.0,0.5439814198268351,True,True,True,True,2
45.4,1.657055852857104,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,256,6,63,0,2,8,203264,10,256,2560,96.26185204395605,0.025825516676745385,45.4,GRADUAL_MULTILEVEL,0,0.21888017979797975,0.0429856468253859,3.415293729437224,50,96.04297186415808,HfOx_01,HfOx,0.0,0.0,0.0,0.5429718641580763,True,True,True,True,3
5.0,0.6989700043360189,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,256,7,127,0,2,8,203264,10,256,2560,96.23968388888889,0.0181213480943509,5.0,ANALOG,0,0.2082744928715715,0.0183501865079378,3.5959328152958108,50,96.03140939601732,HfOx_02,HfOx,0.0,0.0,0.0,0.5314093960173238,True,True,True,True,4
2.0,0.3010299956639812,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,256,7,127,0,2,8,203264,10,256,2560,96.23073475468975,0.02528187099308548,2.0,ANALOG,0,0.2082744928715715,0.0183501865079378,3.5959328152958108,50,96.02246026181818,HfZrOx_01,HfZrOx,0.0,0.0,0.0,0.522460261818182,True,True,True,True,5
1.705978,0.23197342628038578,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,256,7,127,0,2,8,203264,10,256,2560,96.20375044760794,0.051604693760954515,1.705978,GRADUAL_MULTILEVEL,0,0.2082744928715715,0.0183501865079378,3.5959328152958108,50,95.99547595473638,TiOx_02_Au,TiOx,4.1536102450835666e-17,4.1536102450835666e-17,0.0,0.49547595473637784,True,True,True,True,6
76.0,1.8808135922807914,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,256,6,63,0,2,8,203264,10,256,2560,96.2656256868132,0.022287626995002228,76.0,GRADUAL_MULTILEVEL,0,0.21888017979797975,0.0429856468253859,3.415293729437224,50,96.04674550701522,TiOx_04,TiOx,1.1076293986889511e-16,1.1076293986889511e-16,0.0,0.546745507015217,True,True,True,True,7
76.827637,1.8855174757282112,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,256,6,63,0,2,8,203264,10,256,2560,96.2656256868132,0.022287626995002228,76.827637,GRADUAL_MULTILEVEL,0,0.21888017979797975,0.0429856468253859,3.415293729437224,50,96.04674550701522,TiOx_04,TiOx,0.002346447280773764,0.002346447280773764,0.0,0.546745507015217,True,True,True,True,8
2.02898,0.30727776614007485,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,256,7,127,0,2,8,203264,10,256,2560,96.23073475468975,0.02528187099308548,2.02898,ANALOG,0,0.2082744928715715,0.0183501865079378,3.5959328152958108,50,96.02246026181818,HfZrOx_01,HfZrOx,0.0031165874342763953,0.0031165874342763953,0.0,0.522460261818182,True,True,True,True,9
76.827637,1.8855174757282112,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,256,6,63,0,2,8,203264,10,256,2560,96.26849251587302,0.05391276033521523,76.827637,ANALOG,0,0.21888017979797975,0.0429856468253859,3.415293729437224,50,96.04961233607504,TiOx_03,TiOx,0.00876572979157691,0.00876572979157691,0.0,0.5496123360750431,True,True,True,True,10
