device_id,study_id,technology_family,conductance_mode,state_count_status,reported_conductance_states,mapping_strategy,precision_basis,parameter_source,crossbar_size,requested_weight_bits,effective_weight_levels,effective_conductance_levels,slices_per_branch,physical_cells_per_weight,adc_bits,accuracy,accuracy_loss,network_weight_count,estimated_memristor_cells,base_crossbar_tiles,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,6,63,63,5.0,10,9,96.26,-0.0300000000000011,101632,1016320,104,1040,512,532480
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,128,6,63,63,5.0,10,8,96.25,-0.019999999999996,101632,1016320,8,80,256,20480
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,7,127,127,6.0,12,7,96.25,-0.019999999999996,101632,1219584,5,60,128,7680
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,6,63,63,5.0,10,8,96.25,-0.019999999999996,101632,1016320,5,50,256,12800
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,8,255,255,7.0,14,6,96.25,-0.019999999999996,101632,1422848,400,5600,64,358400
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,128,6,63,63,5.0,10,7,96.24,-0.0099999999999909,101632,1016320,8,80,128,10240
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,7,127,127,6.0,12,10,96.24,-0.0099999999999909,101632,1219584,5,60,1024,61440
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,5,31,31,4.0,8,6,96.24,-0.0099999999999909,101632,813056,104,832,64,53248
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,6,63,63,5.0,10,4,96.24,-0.0099999999999909,101632,1016320,104,1040,16,16640
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,7,127,127,6.0,12,8,96.24,-0.0099999999999909,101632,1219584,104,1248,256,319488
