method,held_out_device,held_out_study,training_devices,training_rows,test_rows,candidate_mae_pp,candidate_rmse_pp,actual_best_accuracy,selected_actual_accuracy,selected_predicted_accuracy,regret_pp,selected_crossbar_size,selected_weight_bits,selected_adc_bits
RIDGE,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,245,15.67331506483744,20.777577289039545,96.34,96.22,119.25039602223646,0.12000000000000455,16,7,10
RANDOM_FOREST,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,245,0.17615969781488053,0.32955064961971,96.34,96.29,96.28946818253974,0.04999999999999716,16,6,10
EXTRA_TREES,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,245,0.17391341010690994,0.37027749752184624,96.34,96.29,96.29095533333347,0.04999999999999716,16,6,10
GRADIENT_BOOSTING,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,245,0.7804664473659861,1.1836811486000485,96.34,96.2,97.37653733545962,0.14000000000000057,16,7,5
MLP,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,245,3.7713924581963534,4.893044086676625,96.34,96.2,101.44362211041434,0.14000000000000057,16,6,6
RIDGE,TiOx_04,10.1007/s42835-019-00107-y,9,2205,245,14.963819493765511,19.586530031027294,96.32,96.23,112.71128371459945,0.0899999999999892,16,7,10
RANDOM_FOREST,TiOx_04,10.1007/s42835-019-00107-y,9,2205,245,0.1853705800072882,0.5032581351397429,96.32,96.27,96.2970263650795,0.04999999999999716,16,6,10
EXTRA_TREES,TiOx_04,10.1007/s42835-019-00107-y,9,2205,245,0.35344915374151314,1.1312772373015192,96.32,96.27,96.295274,0.04999999999999716,16,6,10
GRADIENT_BOOSTING,TiOx_04,10.1007/s42835-019-00107-y,9,2205,245,0.7452899840344249,1.0789884869051758,96.32,96.23,97.53105405876411,0.0899999999999892,16,6,5
MLP,TiOx_04,10.1007/s42835-019-00107-y,9,2205,245,1.9737323332487589,3.0952393160590588,96.32,96.05,100.58409189834303,0.269999999999996,16,5,5
RIDGE,ZnO_01,10.3390/electronics7120445,9,2205,245,17.7929603459002,21.654619513832866,96.31,96.21,106.35087838239622,0.10000000000000853,16,7,10
RANDOM_FOREST,ZnO_01,10.3390/electronics7120445,9,2205,245,1.2898468437995223,4.30053648617591,96.31,96.25,96.29806612914861,0.060000000000002274,128,6,8
EXTRA_TREES,ZnO_01,10.3390/electronics7120445,9,2205,245,1.328205841593802,4.4014906681045725,96.31,96.26,96.24290899999988,0.04999999999999716,64,6,9
GRADIENT_BOOSTING,ZnO_01,10.3390/electronics7120445,9,2205,245,1.8577471062362305,4.364200713680562,96.31,96.26,97.87445092634115,0.04999999999999716,16,8,5
MLP,ZnO_01,10.3390/electronics7120445,9,2205,245,83.74572482858702,84.29996538062616,96.31,96.27,28.347735339772978,0.04000000000000625,16,8,10
