method,seeds,mean_of_seed_mae_pp,sd_of_seed_mae_pp,min_seed_mae_pp,max_seed_mae_pp,mean_of_seed_rmse_pp,sd_of_seed_rmse_pp,mean_of_seed_regret_pp,sd_of_seed_regret_pp,worst_regret_across_seeds_pp,mean_success_rate_le_0_5pp
RANDOM_FOREST,5,2.958087086018593,0.003976901908387815,2.954887265867782,2.963008393322119,6.3354368143165125,0.012336954349585214,0.04459999999999894,0.0008944271909997367,0.10000000000000853,1.0
EXTRA_TREES,5,3.069069995378043,0.004073478307270906,3.063604529057345,3.0727801227405314,6.504544729547885,0.013626312322495731,0.04339999999999861,0.002302172886644704,0.10000000000000853,1.0
GRADIENT_BOOSTING,5,3.309838763236442,0.0037491405276310996,3.306742605679999,3.3159333817396592,6.196523888331825,0.00291707306628859,0.5089999999999975,0.0,3.680000000000007,0.9
