held_out_device,held_out_study,held_out_family,method,candidate_mae_pp,candidate_rmse_pp,recommended_crossbar,recommended_weight_bits,recommended_adc_bits,recommended_predicted_accuracy,recommended_actual_accuracy,oracle_best_accuracy,recommendation_regret_pp,near_optimal_success,training_rows,training_devices,training_studies
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,HARDWARE_PLUS_ON_OFF,15.831064934891181,26.896905843137255,16,6,10,96.29467769047616,96.25,96.31,0.060000000000002274,True,1715,7,7
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,HARDWARE_PLUS_ON_OFF_MODE,15.832249898760194,26.89774541236186,16,6,10,96.29326548412698,96.25,96.31,0.060000000000002274,True,1715,7,7
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,FULL_DEVICE_AWARE,15.831862175887142,26.897029358285973,16,6,10,96.29314215079361,96.25,96.31,0.060000000000002274,True,1715,7,7
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,FIXED_TRAINING_CONFIG,,,16,6,10,,96.31,96.35,0.03999999999999204,True,1715,7,7
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,HARDWARE_ONLY,1.4962755171270208,4.075666985432052,16,6,10,96.27082726430442,96.31,96.35,0.03999999999999204,True,1715,7,7
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,HARDWARE_PLUS_ON_OFF,2.7723145265924636,7.4093881900871565,16,6,10,96.29467769047616,96.31,96.35,0.03999999999999204,True,1715,7,7
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,HARDWARE_PLUS_ON_OFF_MODE,2.77205586827459,7.4095476572792265,16,6,10,96.29326548412696,96.31,96.35,0.03999999999999204,True,1715,7,7
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,FULL_DEVICE_AWARE,2.7721221898047634,7.409639231070015,16,6,10,96.29314215079363,96.31,96.35,0.03999999999999204,True,1715,7,7
TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,FIXED_TRAINING_CONFIG,,,16,6,10,,96.29,96.34,0.04999999999999716,True,2205,9,7
TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,HARDWARE_ONLY,3.326640330811538,6.035747796977816,16,6,10,96.26977913876624,96.29,96.34,0.04999999999999716,True,2205,9,7
TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,HARDWARE_PLUS_ON_OFF,0.1077248857817932,0.2514060721531164,256,6,10,96.29473476190495,96.24,96.34,0.10000000000000853,True,2205,9,7
TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,HARDWARE_PLUS_ON_OFF_MODE,0.1677671290278834,0.3320399815749665,16,6,10,96.28973956349213,96.29,96.34,0.04999999999999716,True,2205,9,7
TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,FULL_DEVICE_AWARE,0.17615969781488142,0.32955064961971,16,6,10,96.28946818253974,96.29,96.34,0.04999999999999716,True,2205,9,7
TiOx_04,10.1007/s42835-019-00107-y,TiOx,FIXED_TRAINING_CONFIG,,,16,6,10,,96.27,96.32,0.04999999999999716,True,2205,9,7
TiOx_04,10.1007/s42835-019-00107-y,TiOx,HARDWARE_ONLY,3.355660229650302,6.100848289624814,16,6,10,96.27227529335212,96.27,96.32,0.04999999999999716,True,2205,9,7
TiOx_04,10.1007/s42835-019-00107-y,TiOx,HARDWARE_PLUS_ON_OFF,0.0979382805808755,0.2379289924232184,128,6,8,96.30138527128442,96.29,96.32,0.029999999999986926,True,2205,9,7
TiOx_04,10.1007/s42835-019-00107-y,TiOx,HARDWARE_PLUS_ON_OFF_MODE,0.1741657159488995,0.46844048715284314,16,6,10,96.29689750793669,96.27,96.32,0.04999999999999716,True,2205,9,7
TiOx_04,10.1007/s42835-019-00107-y,TiOx,FULL_DEVICE_AWARE,0.1853705800072877,0.5032581351397427,16,6,10,96.29702636507949,96.27,96.32,0.04999999999999716,True,2205,9,7
ZnO_01,10.3390/electronics7120445,ZnO,FIXED_TRAINING_CONFIG,,,16,6,10,,96.29,96.31,0.01999999999999602,True,2205,9,7
ZnO_01,10.3390/electronics7120445,ZnO,HARDWARE_ONLY,4.717954249084302,9.874385574055797,16,6,10,96.2700712434308,96.29,96.31,0.01999999999999602,True,2205,9,7
ZnO_01,10.3390/electronics7120445,ZnO,HARDWARE_PLUS_ON_OFF,1.3970154844391698,4.55146860182251,64,7,9,96.15182502380888,96.2,96.31,0.10999999999999943,True,2205,9,7
ZnO_01,10.3390/electronics7120445,ZnO,HARDWARE_PLUS_ON_OFF_MODE,1.3451741650734903,4.420706147790013,64,6,9,96.21162534004857,96.26,96.31,0.04999999999999716,True,2205,9,7
ZnO_01,10.3390/electronics7120445,ZnO,FULL_DEVICE_AWARE,1.2898468437995205,4.3005364861759094,128,6,8,96.29806612914861,96.25,96.31,0.060000000000002274,True,2205,9,7
