method,devices,mean_candidate_mae_pp,mean_candidate_rmse_pp,mean_recommendation_regret_pp,median_recommendation_regret_pp,max_recommendation_regret_pp,near_optimal_success_count,near_optimal_success_rate_pct
FIXED_TRAINING_CONFIG,10,,,0.047999999999998974,0.04999999999999716,0.09000000000000341,10,100.0
HARDWARE_ONLY,10,4.979593980448794,9.55530730488988,0.047999999999998974,0.04999999999999716,0.09000000000000341,10,100.0
HARDWARE_PLUS_ON_OFF,10,2.9220973385891913,6.339862881627998,0.04999999999999858,0.0449999999999946,0.10999999999999943,10,100.0
HARDWARE_PLUS_ON_OFF_MODE,10,2.969675722185276,6.362321242671017,0.04099999999999824,0.04999999999999716,0.07000000000000739,10,100.0
FULL_DEVICE_AWARE,10,2.9551827895631586,6.325553764403654,0.04499999999999886,0.04999999999999716,0.10000000000000853,10,100.0
