device_id,scenario_id,proxy_for,proxy_only,calibrated_to_device_nonideality_data,baseline_crossbar,baseline_weight_bits,baseline_adc_bits,baseline_accuracy,baseline_relative_hardware_cost_proxy,requested_weight_bit_loss,requested_adc_bit_loss,target_weight_bits,target_adc_bits,selected_crossbar,selected_weight_bits,selected_adc_bits,exact_target_configuration_found,stressed_accuracy,accuracy_drop_pp,stressed_relative_hardware_cost_proxy,cost_proxy_change
TiOx_02_Ni,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,32,7,10,96.31,212992.0,0,1,7,9,32,7,9,True,96.05,0.2600000000000051,106496.0,-106496.0
TiOx_02_Ni,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,32,7,10,96.31,212992.0,1,1,6,9,32,6,9,True,96.12,0.18999999999999773,106496.0,-106496.0
TiOx_02_Ni,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,32,7,10,96.31,212992.0,2,2,5,8,32,5,8,True,95.6,0.710000000000008,53248.0,-159744.0
TiOx_02_Pt,BASELINE,none,True,False,128,6,8,96.35,4096.0,0,0,6,8,128,6,8,True,96.35,0.0,4096.0,0.0
TiOx_02_Pt,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,128,6,8,96.35,4096.0,1,0,5,8,128,5,8,True,96.23,0.11999999999999034,4096.0,0.0
TiOx_02_Pt,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,128,6,8,96.35,4096.0,0,1,6,7,128,6,7,True,95.96,0.39000000000000057,2048.0,-2048.0
TiOx_02_Pt,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,128,6,8,96.35,4096.0,1,1,5,7,128,5,7,True,95.88,0.46999999999999886,2048.0,-2048.0
TiOx_02_Pt,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,128,6,8,96.35,4096.0,2,2,4,6,128,4,6,True,94.67,1.6799999999999926,1024.0,-3072.0
TiOx_03,BASELINE,none,True,False,256,6,8,96.34,2560.0,0,0,6,8,256,6,8,True,96.34,0.0,2560.0,0.0
TiOx_03,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,256,6,8,96.34,2560.0,1,0,5,8,256,5,8,True,96.08,0.2600000000000051,2560.0,0.0
TiOx_03,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,256,6,8,96.34,2560.0,0,1,6,7,256,6,7,True,96.19,0.15000000000000568,1280.0,-1280.0
TiOx_03,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,256,6,8,96.34,2560.0,1,1,5,7,256,5,7,True,96.09,0.25,1280.0,-1280.0
TiOx_03,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,256,6,8,96.34,2560.0,2,2,4,6,256,4,6,True,95.76,0.5799999999999983,640.0,-1920.0
TiOx_04,BASELINE,none,True,False,16,6,8,96.32,204800.0,0,0,6,8,16,6,8,True,96.32,0.0,204800.0,0.0
TiOx_04,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,16,6,8,96.32,204800.0,1,0,5,8,16,5,8,True,96.15,0.1699999999999875,204800.0,0.0
TiOx_04,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,16,6,8,96.32,204800.0,0,1,6,7,16,6,7,True,96.27,0.04999999999999716,102400.0,-102400.0
TiOx_04,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,16,6,8,96.32,204800.0,1,1,5,7,16,5,7,True,96.21,0.10999999999999943,102400.0,-102400.0
TiOx_04,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,16,6,8,96.32,204800.0,2,2,4,6,16,4,6,True,96.05,0.269999999999996,51200.0,-153600.0
ZnO_01,BASELINE,none,True,False,16,6,6,96.31,256000.0,0,0,6,6,16,6,6,True,96.31,0.0,256000.0,0.0
ZnO_01,WEIGHT_PRECISION_LOSS_1,reduced distinguishable conductance / effective weight precision,True,False,16,6,6,96.31,256000.0,1,0,5,6,16,5,6,True,96.2,0.10999999999999943,204800.0,-51200.0
ZnO_01,ADC_PRECISION_LOSS_1,reduced effective readout / ADC resolution,True,False,16,6,6,96.31,256000.0,0,1,6,5,16,6,5,True,96.24,0.07000000000000739,128000.0,-128000.0
ZnO_01,COMBINED_PRECISION_LOSS_1,combined mapping/readout precision degradation,True,False,16,6,6,96.31,256000.0,1,1,5,5,16,5,5,True,96.16,0.15000000000000568,102400.0,-153600.0
ZnO_01,COMBINED_PRECISION_LOSS_2,stronger combined mapping/readout precision degradation,True,False,16,6,6,96.31,256000.0,2,2,4,4,16,4,4,True,95.95,0.35999999999999943,38400.0,-217600.0
