device_id,factor,accuracy_effect_range_pp,cost_effect_range,best_accuracy_level,best_level_mean_accuracy,worst_accuracy_level,worst_level_mean_accuracy,accuracy_sensitivity_rank_within_device
HfOx_01,requested_weight_bits,83.63057142857143,0.0,6.0,95.00542857142857,2.0,11.374857142857143,1
HfOx_01,adc_bits,6.447999999999993,219744.0,9.0,83.51342857142856,4.0,77.06542857142857,2
HfOx_01,crossbar_size,2.1822448979591798,229325.7142857143,16.0,83.35285714285715,256.0,81.17061224489797,3
HfOx_02,requested_weight_bits,83.23542857142857,0.0,6.0,94.57371428571429,2.0,11.338285714285714,1
HfOx_02,adc_bits,8.22971428571428,219744.0,9.0,83.50885714285714,4.0,75.27914285714286,2
HfOx_02,crossbar_size,2.667551020408169,229325.7142857143,16.0,83.27755102040817,256.0,80.61,3
HfZrOx_01,requested_weight_bits,78.50314285714286,0.0,6.0,89.43714285714286,2.0,10.934,1
HfZrOx_01,adc_bits,34.960571428571434,219744.0,9.0,83.48771428571429,4.0,48.527142857142856,2
HfZrOx_01,crossbar_size,7.775510204081613,229325.7142857143,16.0,81.32673469387754,256.0,73.55122448979593,3
TaOx_01,requested_weight_bits,82.99514285714285,0.0,4.0,94.42485714285714,2.0,11.429714285714287,1
TaOx_01,adc_bits,8.576857142857136,219744.0,10.0,83.458,4.0,74.88114285714286,2
TaOx_01,crossbar_size,2.8569387755102014,229325.7142857143,16.0,83.26836734693877,256.0,80.41142857142857,3
TiOx_02_Au,requested_weight_bits,79.006,0.0,6.0,90.21942857142857,2.0,11.213428571428572,1
TiOx_02_Au,adc_bits,24.433714285714288,219744.0,10.0,83.48114285714286,4.0,59.04742857142857,2
TiOx_02_Au,crossbar_size,9.30816326530612,229325.7142857143,16.0,82.32979591836734,256.0,73.02163265306122,3
TiOx_02_Ni,adc_bits,74.54857142857144,219744.0,10.0,83.46857142857144,4.0,8.92,1
TiOx_02_Ni,requested_weight_bits,61.02628571428571,0.0,4.0,71.28857142857143,2.0,10.262285714285715,2
TiOx_02_Ni,crossbar_size,11.720204081632666,229325.7142857143,16.0,67.5665306122449,256.0,55.84632653061224,3
TiOx_02_Pt,requested_weight_bits,81.96600000000001,0.0,6.0,92.81428571428572,2.0,10.848285714285714,1
TiOx_02_Pt,adc_bits,17.752285714285705,219744.0,9.0,83.51028571428571,4.0,65.75800000000001,2
TiOx_02_Pt,crossbar_size,6.0273469387755085,229325.7142857143,16.0,82.81020408163265,256.0,76.78285714285714,3
TiOx_03,requested_weight_bits,83.20428571428572,0.0,6.0,94.65857142857143,2.0,11.454285714285714,1
TiOx_03,adc_bits,8.358857142857133,219744.0,8.0,83.51142857142857,4.0,75.15257142857143,2
TiOx_03,crossbar_size,2.690612244897963,229325.7142857143,16.0,83.39,256.0,80.69938775510204,3
TiOx_04,requested_weight_bits,83.19542857142856,0.0,6.0,94.6842857142857,2.0,11.488857142857142,1
TiOx_04,adc_bits,8.19942857142857,219744.0,10.0,83.52714285714285,4.0,75.32771428571428,2
TiOx_04,crossbar_size,2.6238775510204135,229325.7142857143,16.0,83.38755102040817,256.0,80.76367346938775,3
ZnO_01,requested_weight_bits,84.75257142857143,379693.71428571426,6.0,96.17428571428572,2.0,11.421714285714286,1
ZnO_01,adc_bits,0.5240000000000151,878976.0,10.0,83.50828571428572,4.0,82.9842857142857,2
ZnO_01,crossbar_size,0.21265306122448635,917302.8571428572,16.0,83.50795918367346,256.0,83.29530612244898,3
