device_on_off_ratio,device_log10_on_off_ratio,state_count_available,physical_state_count,device_conductance_mode,mapping_strategy,precision_basis,crossbar_size,requested_weight_bits,effective_weight_levels,slices_per_branch,physical_cells_per_weight,adc_bits,estimated_memristor_cells,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy,predicted_accuracy,tree_disagreement,candidate_on_off_ratio,candidate_mode,candidate_state_count,historical_mean_abs_error_pp,historical_median_abs_error_pp,historical_max_abs_error_pp,historical_validation_rows,validation_adjusted_score,nearest_known_device,nearest_known_family,descriptor_distance_to_nearest_known,numeric_descriptor_distance,categorical_mismatch_fraction,accuracy_margin_pp,passes_accuracy,passes_cost,passes_distance,feasible
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,3,7,0,2,10,203264,800,1024,819200,92.03271115800867,0.1332908119202553,1.10723,ANALOG,0,0.03447641861471818,0.0160715815295873,0.2663654285714187,50,91.99823473939395,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-3.5017652606060494,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,4,15,0,2,4,203264,800,16,12800,8.92,1.0698409742482225e-15,1.10723,ANALOG,0,13.71625320881674,10.430831988095242,70.24485515873015,50,-4.79625320881674,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-100.29625320881674,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,4,15,0,2,5,203264,800,32,25600,61.55287002380952,3.447979167166391,1.10723,ANALOG,0,6.681273452601844,0.8308962341269748,66.12293591269842,50,54.871596571207675,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-40.628403428792325,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,4,15,0,2,6,203264,800,64,51200,90.63276668253967,3.6236395308024356,1.10723,ANALOG,0,1.9995332015440104,0.13794394047618394,36.912790666666666,50,88.63323348099566,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-6.866766519004344,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,4,15,0,2,7,203264,800,128,102400,93.75949392857143,2.158717454415251,1.10723,ANALOG,0,0.8544740838383827,0.0561313055555601,19.846583396825395,50,92.90501984473305,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-2.5949801552669527,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,4,15,0,2,8,203264,800,256,204800,95.89323583333334,0.13786894038601358,1.10723,ANALOG,0,0.20365972212121047,0.027873156204904548,3.37796664285716,50,95.68957611121212,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.18957611121211926,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,4,15,0,2,9,203264,800,512,409600,96.05115032539683,0.07200428047852611,1.10723,ANALOG,0,0.0600868741991314,0.03171626190476215,0.7014029920634925,50,95.9910634511977,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.49106345119770367,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,4,15,0,2,10,203264,800,1024,819200,96.06436461111112,0.0583678941382766,1.10723,ANALOG,0,0.026657990072148103,0.01926421428571955,0.0900187301587323,50,96.03770662103896,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.5377066210389643,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,5,31,0,2,4,203264,800,16,12800,8.92,1.1075945360173285e-15,1.10723,ANALOG,0,13.919160204920638,10.042912369047627,70.25846577777777,50,-4.9991602049206385,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-100.49916020492064,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,5,31,0,2,5,203264,800,32,25600,59.67759747619046,3.442390028572231,1.10723,ANALOG,0,7.025727251546232,0.8051925674603169,68.3627975793651,50,52.651870224644234,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-42.848129775355766,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,5,31,0,2,6,203264,800,64,51200,91.65244086507936,1.8085573360070113,1.10723,ANALOG,0,2.0809634262481946,0.2142176428571431,35.75193733333334,50,89.57147743883117,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-5.928522561168833,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,5,31,0,2,7,203264,800,128,102400,94.5075342857143,0.6437718097112742,1.10723,ANALOG,0,0.885069303780663,0.05736126984126595,20.295167404761912,50,93.62246498193363,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-1.877535018066368,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,5,31,0,2,8,203264,800,256,204800,95.89473516666666,0.13306845041153806,1.10723,ANALOG,0,0.22662615883117035,0.03160561507935705,3.95275866017316,50,95.6681090078355,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.16810900783549698,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,5,31,0,2,9,203264,800,512,409600,96.06695034920635,0.07576052444817744,1.10723,ANALOG,0,0.05043705829726089,0.01940974747475365,0.5000176839826906,50,96.01651329090909,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.5165132909090886,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,5,31,0,2,10,203264,800,1024,819200,96.1795150873016,0.05074501694116655,1.10723,ANALOG,0,0.02111627759018911,0.0175044087301685,0.0817694603174743,50,96.1583988097114,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.6583988097114002,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,6,63,0,2,4,203264,800,16,12800,8.92,1.1018704949288112e-15,1.10723,ANALOG,0,13.969023790101014,10.321569785714296,70.71995749999999,50,-5.049023790101014,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-100.54902379010102,False,False,True,False
