device_id,technology_family,conductance_mode,state_count_status,reported_conductance_states,mapping_strategy,precision_basis,parameter_source,crossbar_size,requested_weight_bits,effective_weight_levels,effective_conductance_levels,slices_per_branch,physical_cells_per_weight,adc_bits,accuracy,accuracy_loss
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,8,255,255,,2,9,96.26,-0.030000000000001137
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,7,127,127,,2,9,96.26,-0.030000000000001137
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,8,255,255,,2,10,96.25,-0.01999999999999602
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,8,255,255,,2,10,96.25,-0.01999999999999602
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,7,127,127,,2,9,96.25,-0.01999999999999602
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,8,255,255,,2,10,96.24,-0.009999999999990905
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,256,6,63,63,,2,9,96.24,-0.009999999999990905
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,128,8,255,255,,2,8,96.24,-0.009999999999990905
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,128,5,31,31,,2,8,96.23,0.0
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,64,7,127,127,,2,10,96.23,0.0
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,32,7,127,127,,2,10,96.23,0.0
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,7,127,127,,2,8,96.23,0.0
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,6,63,63,,2,8,96.23,0.0
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,256,8,255,255,,2,8,96.23,0.0
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,256,7,127,127,,2,10,96.23,0.0
TiOx_02_Pt,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,absolute,16,7,127,127,,2,10,96.22,0.010000000000005116
