method,seed,devices,mean_mae_pp,mean_rmse_pp,mean_regret_pp,max_regret_pp,success_rate_le_0_5pp
EXTRA_TREES,7,10,3.071963724081637,6.498033623811648,0.04199999999999875,0.07000000000000739,1.0
EXTRA_TREES,21,10,3.0727801227405314,6.484337617414998,0.04499999999999886,0.10000000000000853,1.0
EXTRA_TREES,42,10,3.0711194741691026,6.507681556350876,0.04499999999999886,0.10000000000000853,1.0
EXTRA_TREES,84,10,3.065882126841599,6.5177677285896936,0.04499999999999886,0.10000000000000853,1.0
EXTRA_TREES,123,10,3.063604529057345,6.514903121572212,0.039999999999997725,0.060000000000002274,1.0
GRADIENT_BOOSTING,7,10,3.306742605679999,6.195116556650472,0.5089999999999975,3.680000000000007,0.9
GRADIENT_BOOSTING,21,10,3.310086858007923,6.196124988810702,0.5089999999999975,3.680000000000007,0.9
GRADIENT_BOOSTING,42,10,3.30677291138647,6.192834291819291,0.5089999999999975,3.680000000000007,0.9
GRADIENT_BOOSTING,84,10,3.3159333817396592,6.200533224847509,0.5089999999999975,3.680000000000007,0.9
GRADIENT_BOOSTING,123,10,3.309658059368158,6.198010379531151,0.5089999999999975,3.680000000000007,0.9
RANDOM_FOREST,7,10,2.954887265867782,6.326658618311795,0.04499999999999886,0.10000000000000853,1.0
RANDOM_FOREST,21,10,2.9555423765331494,6.327672535292814,0.04499999999999886,0.10000000000000853,1.0
RANDOM_FOREST,42,10,2.955182789563158,6.3255537644036535,0.04499999999999886,0.10000000000000853,1.0
RANDOM_FOREST,84,10,2.9618146048067575,6.345140149707911,0.04499999999999886,0.10000000000000853,1.0
RANDOM_FOREST,123,10,2.963008393322119,6.352159003866386,0.04299999999999926,0.10000000000000853,1.0
