method,devices,mean_candidate_mae_pp,median_candidate_mae_pp,mean_candidate_rmse_pp,median_candidate_rmse_pp,mean_regret_pp,median_regret_pp,max_regret_pp,success_rate_le_0_5pp
RANDOM_FOREST,10,2.9551827895631586,1.9744252600362273,6.325553764403654,5.197252171050543,0.04499999999999886,0.04999999999999716,0.10000000000000853,1.0
EXTRA_TREES,10,3.0711194741691017,1.2493031044703828,6.507681556350876,3.745126314079158,0.04499999999999886,0.04999999999999716,0.10000000000000853,1.0
GRADIENT_BOOSTING,10,3.30677291138647,2.1414437493706893,6.192834291819291,4.450221482367789,0.5089999999999975,0.15500000000000114,3.680000000000007,0.9
MLP,10,15.651214918698662,4.402843613118204,18.76583454037351,6.928510076700636,0.2089999999999989,0.1599999999999966,0.4299999999999926,1.0
RIDGE,10,18.249258582824954,15.867942607318078,23.13440826902786,20.585532347524055,0.10600000000000165,0.10999999999999943,0.15000000000000568,1.0
