policy,profiles,coverage,accepted_profiles,mean_regret_pp,max_regret_pp,success_rate_le_0_5pp,accepted_mean_regret_pp,accepted_max_regret_pp,accepted_success_rate,mean_relative_hardware_cost_proxy,cost_proxy_reduction_vs_accuracy_first_pct,study_weighted_mean_regret_pp,study_group_allpass_rate
ACCURACY_FIRST_ALWAYS,10,0.0,0,0.04499999999999886,0.10000000000000853,1.0,,,,587366.4,0.0,0.04374999999999929,1.0
CURRENT_STRICT,10,0.2,2,0.0769999999999996,0.2199999999999988,1.0,0.17999999999999966,0.2199999999999988,1.0,504320.0,14.138772663877269,0.0837500000000002,1.0
COUNT1_PLUS_RATIO_ENVELOPE,10,0.2,2,0.0769999999999996,0.2199999999999988,1.0,0.17999999999999966,0.2199999999999988,1.0,504320.0,14.138772663877269,0.0837500000000002,1.0
COUNT2_ANY_RATIO,10,0.8,8,2.280000000000001,20.320000000000007,0.7,2.83,20.320000000000007,0.625,13952.0,97.62465132496513,1.0666666666666687,0.875
COUNT1_ANY_RATIO,10,0.8,8,2.280000000000001,20.320000000000007,0.7,2.83,20.320000000000007,0.625,13952.0,97.62465132496513,1.0666666666666687,0.875
NO_GATE_COST_ALWAYS,10,1.0,10,2.3040000000000007,20.320000000000007,0.7,2.3040000000000007,20.320000000000007,0.7,2688.0,99.5423640167364,1.096666666666668,0.875
