device_id,factor,factor_level,mean_accuracy,mean_relative_hardware_cost_proxy
TiOx_02_Au,requested_weight_bits,3.0,85.37457142857143,63282.28571428572
TiOx_02_Au,requested_weight_bits,4.0,90.21257142857144,63282.28571428572
TiOx_02_Au,requested_weight_bits,5.0,89.912,63282.28571428572
TiOx_02_Au,requested_weight_bits,6.0,90.21942857142857,63282.28571428572
TiOx_02_Au,requested_weight_bits,7.0,90.13542857142856,63282.28571428572
TiOx_02_Au,requested_weight_bits,8.0,90.19828571428572,63282.28571428572
TiOx_02_Au,adc_bits,4.0,59.04742857142857,3488.0
TiOx_02_Au,adc_bits,5.0,72.384,6976.0
TiOx_02_Au,adc_bits,6.0,82.10742857142857,13952.0
TiOx_02_Au,adc_bits,7.0,83.338,27904.0
TiOx_02_Au,adc_bits,8.0,83.47371428571428,55808.0
TiOx_02_Au,adc_bits,9.0,83.434,111616.0
TiOx_02_Au,adc_bits,10.0,83.48114285714286,223232.0
TiOx_02_Ni,crossbar_size,16.0,67.5665306122449,232228.57142857142
TiOx_02_Ni,crossbar_size,32.0,65.28551020408163,60379.42857142857
TiOx_02_Ni,crossbar_size,64.0,62.52857142857143,16256.0
TiOx_02_Ni,crossbar_size,128.0,57.395102040816326,4644.571428571428
TiOx_02_Ni,crossbar_size,256.0,55.84632653061224,2902.8571428571427
TiOx_02_Ni,requested_weight_bits,2.0,10.262285714285715,63282.28571428572
TiOx_02_Ni,requested_weight_bits,3.0,66.02971428571429,63282.28571428572
TiOx_02_Ni,requested_weight_bits,4.0,71.28857142857143,63282.28571428572
TiOx_02_Ni,requested_weight_bits,5.0,71.012,63282.28571428572
TiOx_02_Ni,requested_weight_bits,6.0,71.11914285714286,63282.28571428572
TiOx_02_Ni,requested_weight_bits,7.0,71.19,63282.28571428572
TiOx_02_Ni,requested_weight_bits,8.0,71.16914285714286,63282.28571428572
TiOx_02_Ni,adc_bits,4.0,8.92,3488.0
TiOx_02_Ni,adc_bits,5.0,33.95057142857143,6976.0
TiOx_02_Ni,adc_bits,6.0,65.36142857142858,13952.0
TiOx_02_Ni,adc_bits,7.0,75.33914285714286,27904.0
TiOx_02_Ni,adc_bits,8.0,81.94114285714286,55808.0
TiOx_02_Ni,adc_bits,9.0,83.09,111616.0
TiOx_02_Ni,adc_bits,10.0,83.46857142857144,223232.0
TiOx_02_Pt,crossbar_size,16.0,82.81020408163265,232228.57142857142
TiOx_02_Pt,crossbar_size,32.0,82.33714285714285,60379.42857142857
TiOx_02_Pt,crossbar_size,64.0,80.94244897959183,16256.0
TiOx_02_Pt,crossbar_size,128.0,78.12204081632653,4644.571428571428
TiOx_02_Pt,crossbar_size,256.0,76.78285714285714,2902.8571428571427
TiOx_02_Pt,requested_weight_bits,2.0,10.848285714285714,63282.28571428572
TiOx_02_Pt,requested_weight_bits,3.0,86.94,63282.28571428572
TiOx_02_Pt,requested_weight_bits,4.0,92.57914285714286,63282.28571428572
TiOx_02_Pt,requested_weight_bits,5.0,92.70828571428571,63282.28571428572
TiOx_02_Pt,requested_weight_bits,6.0,92.81428571428572,63282.28571428572
TiOx_02_Pt,requested_weight_bits,7.0,92.72485714285715,63282.28571428572
TiOx_02_Pt,requested_weight_bits,8.0,92.77771428571428,63282.28571428572
TiOx_02_Pt,adc_bits,4.0,65.75800000000001,3488.0
TiOx_02_Pt,adc_bits,5.0,79.304,6976.0
TiOx_02_Pt,adc_bits,6.0,82.584,13952.0
TiOx_02_Pt,adc_bits,7.0,83.28657142857143,27904.0
TiOx_02_Pt,adc_bits,8.0,83.46542857142857,55808.0
TiOx_02_Pt,adc_bits,9.0,83.51028571428571,111616.0
TiOx_02_Pt,adc_bits,10.0,83.4842857142857,223232.0
TiOx_03,crossbar_size,16.0,83.39,232228.57142857142
TiOx_03,crossbar_size,32.0,83.20489795918367,60379.42857142857
TiOx_03,crossbar_size,64.0,82.6834693877551,16256.0
TiOx_03,crossbar_size,128.0,80.82020408163265,4644.571428571428
TiOx_03,crossbar_size,256.0,80.69938775510204,2902.8571428571427
TiOx_03,requested_weight_bits,2.0,11.454285714285714,63282.28571428572
TiOx_03,requested_weight_bits,3.0,90.68657142857143,63282.28571428572
TiOx_03,requested_weight_bits,4.0,94.59714285714286,63282.28571428572
TiOx_03,requested_weight_bits,5.0,94.50314285714286,63282.28571428572
TiOx_03,requested_weight_bits,6.0,94.65857142857143,63282.28571428572
TiOx_03,requested_weight_bits,7.0,94.60971428571429,63282.28571428572
TiOx_03,requested_weight_bits,8.0,94.60771428571428,63282.28571428572
TiOx_03,adc_bits,4.0,75.15257142857143,3488.0
TiOx_03,adc_bits,5.0,82.67085714285714,6976.0
TiOx_03,adc_bits,6.0,83.32342857142858,13952.0
TiOx_03,adc_bits,7.0,83.45571428571428,27904.0
TiOx_03,adc_bits,8.0,83.51142857142857,55808.0
TiOx_03,adc_bits,9.0,83.5097142857143,111616.0
TiOx_03,adc_bits,10.0,83.49342857142857,223232.0
TiOx_04,crossbar_size,16.0,83.38755102040817,232228.57142857142
TiOx_04,crossbar_size,32.0,83.20204081632653,60379.42857142857
TiOx_04,crossbar_size,64.0,82.6930612244898,16256.0
TiOx_04,crossbar_size,128.0,80.87673469387755,4644.571428571428
TiOx_04,crossbar_size,256.0,80.76367346938775,2902.8571428571427
TiOx_04,requested_weight_bits,2.0,11.488857142857142,63282.28571428572
TiOx_04,requested_weight_bits,3.0,90.66771428571428,63282.28571428572
TiOx_04,requested_weight_bits,4.0,94.61771428571429,63282.28571428572
TiOx_04,requested_weight_bits,5.0,94.54657142857143,63282.28571428572
TiOx_04,requested_weight_bits,6.0,94.6842857142857,63282.28571428572
TiOx_04,requested_weight_bits,7.0,94.634,63282.28571428572
TiOx_04,requested_weight_bits,8.0,94.65314285714287,63282.28571428572
TiOx_04,adc_bits,4.0,75.32771428571428,3488.0
TiOx_04,adc_bits,5.0,82.6497142857143,6976.0
TiOx_04,adc_bits,6.0,83.32771428571428,13952.0
TiOx_04,adc_bits,7.0,83.45685714285713,27904.0
TiOx_04,adc_bits,8.0,83.51428571428572,55808.0
TiOx_04,adc_bits,9.0,83.48885714285714,111616.0
TiOx_04,adc_bits,10.0,83.52714285714285,223232.0
ZnO_01,crossbar_size,16.0,83.50795918367346,928914.2857142857
ZnO_01,crossbar_size,32.0,83.48775510204082,241517.7142857143
ZnO_01,crossbar_size,64.0,83.44673469387754,65024.0
ZnO_01,crossbar_size,128.0,83.3208163265306,18578.285714285714
ZnO_01,crossbar_size,256.0,83.29530612244898,11611.42857142857
ZnO_01,requested_weight_bits,2.0,11.421714285714286,63282.28571428572
ZnO_01,requested_weight_bits,3.0,91.99085714285714,126564.57142857143
ZnO_01,requested_weight_bits,4.0,95.944,189846.85714285713
ZnO_01,requested_weight_bits,5.0,96.05457142857142,253129.14285714287
ZnO_01,requested_weight_bits,6.0,96.17428571428572,316411.4285714286
ZnO_01,requested_weight_bits,7.0,96.136,379693.71428571426
ZnO_01,requested_weight_bits,8.0,96.16057142857143,442976.0
ZnO_01,adc_bits,4.0,82.9842857142857,13952.0
ZnO_01,adc_bits,5.0,83.41057142857143,27904.0
ZnO_01,adc_bits,6.0,83.49228571428571,55808.0
ZnO_01,adc_bits,7.0,83.50800000000001,111616.0
ZnO_01,adc_bits,8.0,83.50742857142856,223232.0
ZnO_01,adc_bits,9.0,83.47114285714285,446464.0
ZnO_01,adc_bits,10.0,83.50828571428572,892928.0
