metric,independent_groups,observed_mean,bootstrap_sd,ci95_low,ci95_high,bootstrap_resamples
mean_global_mae_pp,8,1.9220628167902123,0.77847571586163,0.6450453652840928,3.6235832300753685,20000
mean_baseline_regret_pp,8,1.2591666666666643,0.7884239996084245,0.3425000000000028,2.966249999999997,20000
mean_guarded_regret_pp,8,0.08375000000000037,0.022615344087008556,0.04374999999999937,0.13124999999999995,20000
