"held_out_family","devices","mean_global_mae_pp","mean_global_rmse_pp","mean_baseline_regret_pp","mean_guarded_regret_pp","max_guarded_regret_pp","guarded_success_rate"
"HfOx","2","1.5475760295488","3.96120994188084","0.414999999999999","0.18","0.219999999999999","1"
"HfZrOx","1","2.76113751994876","7.28947373898364","0.659999999999997","0","0","1"
"TaOx","1","0.649186685829137","2.17445941181995","0.370000000000005","0.100000000000009","0.100000000000009","1"
"TiOx","5","4.38927573473039","8.46849561413105","4.41","0.0499999999999972","0.0600000000000023","1"
"ZnO","1","1.28984684379951","4.30053648617588","0.269999999999996","0.0600000000000023","0.0600000000000023","1"
