held_out_device,held_out_study,held_out_family,method,row_position,crossbar_size,requested_weight_bits,adc_bits,mapping_strategy,cost_proxy,actual_accuracy,predicted_accuracy,is_true_pareto,is_predicted_pareto
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,194,64,5,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,55.5,80.83238783333326,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,195,64,4,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,55.32,79.48898107142847,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,196,64,6,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,54.54,81.40117778571413,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,197,64,3,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,51.46,74.49457332539676,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,198,128,8,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,41.08,63.00346438888891,True,True
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,199,128,7,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,40.78,62.939128055555585,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,200,128,6,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,40.38,62.87903167460323,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,201,128,4,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,40.23,59.84845710317453,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,202,128,5,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,40.08,62.2990922936508,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,203,128,3,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,39.48,53.5638492936507,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,204,256,4,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,33.19,53.70786049999998,True,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,205,256,8,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,32.42,55.62196811904768,False,True
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,206,256,7,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,32.29,55.576133119047675,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,207,256,6,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,32.1,55.52160759523811,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,208,256,3,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,31.91,49.986555619047564,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,209,256,5,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,31.62,54.95060497619046,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,210,64,2,4,IDEALIZED_SINGLE_PAIR_ANALOG,896.0,11.71,10.126749698412691,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,211,64,2,5,IDEALIZED_SINGLE_PAIR_ANALOG,1792.0,11.41,10.288686317460307,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,212,16,2,7,IDEALIZED_SINGLE_PAIR_ANALOG,102400.0,11.39,11.216513278499278,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,213,32,2,7,IDEALIZED_SINGLE_PAIR_ANALOG,26624.0,11.36,11.091757356421345,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,214,16,2,9,IDEALIZED_SINGLE_PAIR_ANALOG,409600.0,11.36,11.34682870634923,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,215,64,2,6,IDEALIZED_SINGLE_PAIR_ANALOG,3584.0,11.33,10.85634422294372,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,216,32,2,9,IDEALIZED_SINGLE_PAIR_ANALOG,106496.0,11.3,11.251572839826858,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,217,256,2,9,IDEALIZED_SINGLE_PAIR_ANALOG,5120.0,11.28,11.318802023809532,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,218,32,2,8,IDEALIZED_SINGLE_PAIR_ANALOG,53248.0,11.27,11.168769816017313,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,219,32,2,10,IDEALIZED_SINGLE_PAIR_ANALOG,212992.0,11.27,11.18586726623375,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,220,16,2,6,IDEALIZED_SINGLE_PAIR_ANALOG,51200.0,11.26,11.042153984848492,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,221,64,2,10,IDEALIZED_SINGLE_PAIR_ANALOG,57344.0,11.25,11.188040044011528,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,222,16,2,8,IDEALIZED_SINGLE_PAIR_ANALOG,204800.0,11.25,11.290815753968257,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,223,256,2,8,IDEALIZED_SINGLE_PAIR_ANALOG,2560.0,11.25,11.255175253968265,False,False
