device_on_off_ratio,device_log10_on_off_ratio,state_count_available,physical_state_count,device_conductance_mode,mapping_strategy,precision_basis,crossbar_size,requested_weight_bits,effective_weight_levels,slices_per_branch,physical_cells_per_weight,adc_bits,estimated_memristor_cells,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy,predicted_accuracy,tree_disagreement,historical_mean_abs_error_pp,historical_median_abs_error_pp,historical_max_abs_error_pp,historical_validation_rows,validation_adjusted_score,custom_device_name,input_on_off_ratio,input_fixed_state_count,descriptor_distance_to_nearest_known,nearest_known_device
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,4,15,0,2,5,203264,800,32,25600,95.86321732611832,0.0686264279464906,6.681273452601844,0.8308962341269748,66.12293591269842,50,89.18194387351647,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,4,15,0,2,6,203264,800,64,51200,96.01911722222222,0.04225721569207848,1.9995332015440104,0.13794394047618394,36.912790666666666,50,94.01958402067821,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,4,15,0,2,7,203264,800,128,102400,96.1010724004329,0.02631698916202098,0.8544740838383827,0.0561313055555601,19.846583396825395,50,95.24659831659451,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,4,15,0,2,8,203264,800,256,204800,96.06640382539682,0.011772145954448292,0.20365972212121047,0.027873156204904548,3.37796664285716,50,95.8627441032756,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,4,15,0,2,9,203264,800,512,409600,96.0627352063492,0.014071804317921693,0.0600868741991314,0.03171626190476215,0.7014029920634925,50,96.00264833215007,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,4,15,0,2,10,203264,800,1024,819200,96.0660198968254,0.008024924331570914,0.026657990072148103,0.01926421428571955,0.0900187301587323,50,96.03936190675324,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,5,31,0,2,4,203264,800,16,12800,95.28463523809525,0.06509048087787471,13.919160204920638,10.042912369047627,70.25846577777777,50,81.3654750331746,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,5,31,0,2,5,203264,800,32,25600,95.99383446825397,0.07384248759231996,7.025727251546232,0.8051925674603169,68.3627975793651,50,88.96810721670774,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,5,31,0,2,6,203264,800,64,51200,96.11824935714286,0.037571775594993036,2.0809634262481946,0.2142176428571431,35.75193733333334,50,94.03728593089467,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,5,31,0,2,7,203264,800,128,102400,96.18653738888888,0.020434758438874375,0.885069303780663,0.05736126984126595,20.295167404761912,50,95.30146808510821,TestGradual,50.0,0,0.020908117274374895,HfOx_01
