factor,median_accuracy_effect_range_pp,mean_accuracy_effect_range_pp,max_accuracy_effect_range_pp,median_cost_effect_range,mean_cost_effect_range
requested_weight_bits,83.09528571428571,80.15148571428571,84.75257142857143,0.0,37969.37142857142
adc_bits,8.467857142857135,19.2032,74.54857142857144,219744.0,285667.2
crossbar_size,2.773775510204082,4.806510204081632,11.720204081632666,229325.7142857143,298123.4285714286
