device_id,study_id,device_stack,top_electrode,raw_workbook_sheet,temperature_K,selected_read_voltage_V,branch1_v1_V,branch1_i1_A,branch1_v2_V,branch1_i2_A,branch1_interpolated_current_A,branch1_resistance_ohm,branch2_v1_V,branch2_i1_A,branch2_v2_V,branch2_i2_A,branch2_interpolated_current_A,branch2_resistance_ohm,ron_ohm,roff_ohm,on_off_ratio,paper_doi,raw_dataset_doi,derivation_method,read_voltage_evidence
TiOx_02_Au,10.1038/s41598-019-44607-3,Au/TiO2/Au,Au,Fig.2a,300.0,0.1,0.0967,1.00223e-05,0.14771,1.69436e-05,1.0470061027249561e-05,9551.042705456854,0.09646,5.89325e-06,0.14771,9.42612e-06,6.137276532682927e-06,16293.87228479417,9551.042705456854,16293.87228479417,1.7059783719200519,10.1038/s41598-019-44607-3,10.5258/SOTON/D0930,300 K raw Figure-2 I-V data; linear interpolation of the two positive-bias non-switching branches to +0.10 V; R=V/I; RON=min(branch R); ROFF=max(branch R).,ASSUMED analysis point: +0.10 V was selected inside the paper's |V|<0.5 V non-switching regime; it is not a paper-reported standard read voltage.
TiOx_02_Ni,10.1038/s41598-019-44607-3,Au/TiO2/Ni,Ni,Fig.2b,300.0,0.1,0.09848,1.4715e-05,0.14949,2.31153e-05,1.496531280141149e-05,6682.1189324267425,0.09856,1.62994e-05,0.14965,2.59014e-05,1.6570037698179684e-05,6034.989287380173,6034.989287380173,6682.1189324267425,1.107229626140313,10.1038/s41598-019-44607-3,10.5258/SOTON/D0930,300 K raw Figure-2 I-V data; linear interpolation of the two positive-bias non-switching branches to +0.10 V; R=V/I; RON=min(branch R); ROFF=max(branch R).,ASSUMED analysis point: +0.10 V was selected inside the paper's |V|<0.5 V non-switching regime; it is not a paper-reported standard read voltage.
TiOx_02_Pt,10.1038/s41598-019-44607-3,Au/TiO2/Pt,Pt,Fig.2c,300.0,0.1,0.09662,8.38973e-06,0.14763,1.38392e-05,8.750820150950796e-06,11427.500311400501,0.09646,1.79445e-05,0.14715,2.77278e-05,1.8627729078713753e-05,5368.340906045914,5368.340906045914,11427.500311400501,2.1286837984768554,10.1038/s41598-019-44607-3,10.5258/SOTON/D0930,300 K raw Figure-2 I-V data; linear interpolation of the two positive-bias non-switching branches to +0.10 V; R=V/I; RON=min(branch R); ROFF=max(branch R).,ASSUMED analysis point: +0.10 V was selected inside the paper's |V|<0.5 V non-switching regime; it is not a paper-reported standard read voltage.
